Time (s),Paw (cmH2O),Flow (l/min),Volume (ml),Vt (ml),Ti (s),RR (/min),PEEP (cmH2O)
1586740288.704898,12.20947265625,-134.619140625,198.6083984375,300,1.2,18,5
1586740288.754503,11.3232421875,-115.3106689453125,164.00146484375,300,1.2,18,5
1586740288.804225,10.521240234375,-105.6793212890625,132.50732421875,300,1.2,18,5
1586740288.854615,9.8858642578125,-91.1865234375,105.48095703125,300,1.2,18,5
1586740288.9040818,9.2138671875,-79.815673828125,81.70166015625,300,1.2,18,5
1586740288.954544,8.6627197265625,-69.964599609375,60.90087890625,300,1.2,18,5
1586740289.005038,8.1298828125,-58.3465576171875,43.896484375,300,1.2,18,5
1586740289.054751,7.7288818359375,-48.74267578125,29.21142578125,300,1.2,18,5
1586740289.103876,7.2711181640625,-40.777587890625,16.78466796875,300,1.2,18,5
1586740289.154115,6.90673828125,-33.7738037109375,6.92138671875,300,1.2,18,5
1586740289.204513,6.617431640625,-27.4932861328125,0.0,300,1.2,18,5
1586740289.255085,6.273193359375,-21.5789794921875,0.0,300,1.2,18,5
1586740289.304548,6.0772705078125,-16.0125732421875,0.0,300,1.2,18,5
1586740289.354917,5.936279296875,-12.0574951171875,0.0,300,1.2,18,5
1586740289.4043,5.7879638671875,-8.67919921875,0.0,300,1.2,18,5
1586740289.454769,5.6744384765625,-5.8868408203125,0.0,300,1.2,18,5
1586740289.504183,5.592041015625,-4.119873046875,0.0,300,1.2,18,5
1586740289.554721,5.4693603515625,-2.7374267578125,0.0,300,1.2,18,5
1586740289.6042361,5.4144287109375,-1.8768310546875,0.0,300,1.2,18,5
1586740289.654639,5.357666015625,-1.46484375,0.0,300,1.2,18,5
1586740289.704895,5.2734375,-1.153564453125,0.0,300,1.2,18,5
1586740289.7537038,5.2459716796875,-0.8514404296875,0.0,300,1.2,18,5
1586740289.804123,5.218505859375,-0.6591796875,0.0,300,1.2,18,5
1586740289.853639,5.218505859375,-0.604248046875,0.0,300,1.2,18,5
1586740289.904659,5.1617431640625,-0.494384765625,0.0,300,1.2,18,5
1586740289.955082,5.13427734375,-0.4669189453125,0.0,300,1.2,18,5
1586740290.004561,5.0775146484375,-0.4669189453125,0.0,300,1.2,18,5
1586740290.054076,5.0775146484375,-0.32958984375,0.0,300,1.2,18,5
1586740290.104479,5.050048828125,-0.274658203125,0.0,300,1.2,18,5
1586740290.1548831,4.9932861328125,-0.32958984375,0.0,300,1.2,18,5
1586740290.2042408,5.2459716796875,0.6317138671875,0.0,300,1.2,18,5
1586740290.2546,5.050048828125,-0.164794921875,0.0,300,1.2,18,5
1586740290.30444,5.189208984375,0.1373291015625,0.0,300,1.2,18,5
